companyid,accounting_period,address,annual_sales_revenue,banks,branches,company name,company_history,company_name_info,company_name_pronunciation,dividend,establishment_date,major_businesses,monthly_sales_revenue,n_employees,n_shareholders,n_stocks_authorised,n_stocks_published,net_profit,personnel,sales_profit,shareholders,stock_exchange,total_assets,total_assets_only,date_assets,total_income,warehouses,<NA>,non_hira_name,data_source_type,suspicious_length_digit,alert_low_one_confidence,request_verification_total_assets_only,clean_total_assets,clean_n_employees,total_income_date_1,total_income_date_2,total_income_1,total_income_2,request_verification_total_income_1,clean_total_income_1,request_verification_total_income_2,clean_total_income_2,sales_profit_date_1,sales_profit_date_2,sales_profit_1,sales_profit_2,request_verification_sales_profit_1,clean_sales_profit_1,request_verification_sales_profit_2,clean_sales_profit_2,net_profit_date_1,net_profit_date_2,net_profit_1,net_profit_2,request_verification_net_profit_1,clean_net_profit_1,request_verification_net_profit_2,clean_net_profit_2,clean_n_shareholders,clean_establishment_date,clean_imperial_era_established,clean_establishment_year,clean_establishment_month,
PR1954_firm_4039,)3月・9月,東京都港區芝田村町11-1電銀座(57)5731(代表),NA,)三井・拓銀・第一・富士・三菱,「路礦業所」北海道钏路市春採231T釧路蟻業所札幌出張所」札幌市南一條西16丁目本店商務部名古屋支部」中村區泥江町1-24「本店商務部仙台支部」仙台市定確寺通櫓町5-2「本店商務部伏木支部」富山「縣高岡市伏木湊町44「北海道營業所」釧路市南大通1,太平洋炭礦株,NA,NA,NA,)28年3月25分28年9月25分,)大正9年4月,)石炭探掘並に販賣採石,NA,4600,")2,016",)800万株,)400万株,")28年3月4,149万円28年9月3,141万円",田中收社長||||副社長小林德四郎||||常務芹田榮次|||小林勝助|||取締役梅田精一|||塩谷松夫||||監查役皆皇與三郎|||加藤次郎|||總務部|||部長小林政利|||「同代理澤田龍三郎|||課長戦澤田亀三郎|||經理部|||部長梅田精一|||次長永井直|||部長代理、松崎愛一||||會計課長并直|||財務課長松崎愛一|||生產部|||部長蘭谷松夫|||同代理岩井鐵二|||河野政夫|||資材課長蘭河野政夫|||技術課長岩井鐵二|||商務部|||「部長徽小林勝助|||「同代理伊藤忠一|||總務課長伊藤忠一|||現務課長末成英|||業務課長|||整理課長小林勝助|||名古屋支塚田千秋|||仙台支部森原猛|||伏木支部山口康平|||路礦業所|||「所長蘭芹田榮次制長長|||次長吉田忍|||「技師長石崎於鬼彥|||山莊一雄|||事務長岡本善太郎|||石渡信記|||技師長代佐藤吉榮|||總務課長石渡信記|||經理課長弓田義輝|||資材課長|||勞務課長石渡信記|||礦務課長山莊一雄|||保安監督課長倉田昇|||機電課長林軍治|||土建課長林軍治|||選炭課長山莊一雄|||春採坑長佐藤吉榮|||「興津坑長藤森正男|||札幌出張所」|||所長矢野健太郎,")28年3月2億3,728万円28年9月1億5,075万円",")大正海上火災320,000製鐵原种170,000北海道拓殖銀行140,000三井船舶110,000",東京,2億円,2億円,NA,NA,NA,NA,太平洋炭礦株,firm,NA,FALSE,FALSE,200000000,4600,NA,NA,NA,NA,NA,NA,NA,NA,)28年3月,28年9月,2億3728万円,1億5075万円,FALSE,237280000,FALSE,150750000,)28年3月,28年9月,4149万円,3141万円,FALSE,41490000,FALSE,31410000,2016,大正9年4月,大正,9年,4月,
PR1954_firm_5119,)5月・11月,〔舊稱東急橫濱製作所】,NA,)協和(平坂・八重洲通)・三菱信託(横濱)・三井信託(本店)・横濱興信(金澤),「橫濱市金澤區釜利谷町1電長者町(3)9491(代表)事業所)事務所1・工場1「東京事務所」中央區日本橋通]6大正海上第三千代田(27)7451.7453,「東急車輛製造碟,昭和23年8月糊東急横濱製作所を設立昭和28年2月現稱,NA,NA,)28年5月15分28月11月15分,)昭和22年8月,")各種客電車貨車,各種鐵道車輛部品‧各種下レーラー・ショップトラック・各種バスボデーの製造修理‧各種鑄鋼鑄鐵品·各種非鐵合金鋳物の製造加工・デイーゼル機關自動車機械器具・酸素ガスの製造",NA,1600,)582,)800万株,)400万株,")28年5月3,569万円28年11月4,584万円","|社長吉次|||長務大塚秀雄|||常務渡邊四郎|||中井秀雄|||社專常取務役「取締役高橋嚴|||安部秀穗|||森茂夫|||古野博|||五島昇|||大川博|||田中百畝|||上田甲午郎」|||澤勝藏|||井上定雄|||北田哲郎|||本乎監查役|||木下久雄||||相談役矢板豐一|||顧問松田今輔|||伊能繁次郎」|||重役室附竹石藤太|||總務部|||部長爾,高橋嚴||||医務課長西本一郎||||勤労課長多田淳典|||經理部|||部長勒安部秀穗|||主計課長安部秀穗|||資金課長北村治雄|||「管財課長時田羊止|||營業部(東京事務所)|||部長森茂夫|||次長村田豊|||村田光伸|||庶務課長角谷英男|||村田光伸第一課長|||第二課長潤東健一|||技術部|||「部長輸中井秀雄|||技術第一課長世良田健一|||技術第二課長高瀨睦人|||檢查課長牛渡護|||製造部||||部長篇渡邊四郎||||企畫課長||||外駐課長遠藤友治EU|||購買課長鳥越保||||製造第一課長吉澤四朗||||製造第二課長成井祐次|||製造第三課長伊與部倉吉|||同課附中村正吉|||製造第四課長長島福留|||鑄造課長小野正壽|||製材課長池田曆藏|||倉庫課長木原作一",")28年5月7億1,640万円28年11月9億1,338万円","(株)東急1,120,000京濱急行電鐵840,000小田急560,000京王帝都電鐵280,000山一証券1190,000第一生命80,000",店頭株(東京),2億円(昭和28年12月),2億円,昭和28年12月),NA,)に仕入口京済產業・中川商店・山本商店・三洋商事・小糸商事・日立製作所·中村自動車·橫濱公・日本エヤーブレーキ・三菱電機[販賣國鐵·保安・いすゞ自動車・東急・京濱急行電鐵・小田急・京王帝都電鐵・都電・東武鐵道,NA,「東急車輛製造碟,firm,NA,FALSE,FALSE,200000000,1600,NA,NA,NA,NA,NA,NA,NA,NA,)28年5月,28年11月,7億1640万円,9億1338万円,FALSE,716400000,FALSE,913380000,)28年5月,28年11月,3569万円,4584万円,FALSE,35690000,FALSE,45840000,582,昭和22年8月,昭和,22年,8月,
PR1954_firm_5235,)6月・12月,東京都中央區日本橋吳服橋3-7-3電千代田(27)3161-5,NA,)富士・大和・三菱・安田信託・日本信託・七十七(本店),)支店3「横濱支店」中區尾上町5-6|6働長者町(3)6737-9|大阪支店」東區北濱4—38|北濱(23)5852-3「仙台支店」仙台市國分町144闖仙台3519,東京建物㈱,NA,NA,NA,)28年6月15分28年12月15分,)明治29年10月,設工事請負,NA,150,")1,745",)400万株,)200万株,"28年6月3,323万円28年12月3,299万円","社長藤村謙二|||常務詩苗唯儀|||櫻井正雄|||取締役江尻俊一郎|||「阿部知義|||監査役大塚利雄|||龜山孝一|||總務部|||部長西川英夫|||秘書課長西川英夫|||「庶務課長福田照夫|||株式課長福田照夫|||業務部|||部長蘭櫻井正雄|||「經理課長鈴木寬|||審査課長田代耕二|||管理部|||「部長輸江尻俊一郎|||不動產課,近望得二|||「管理課長渡部武文|||營業部|||部長蔣苗唯儀||||鑑定課長吉原富治|||貨付課長高田正士|||建設部|||部長磯矢秀雄|||次長井上正朔|||若尾達郎|||支店長|||「横濱大宮儀|||大阪柘植美夫|||仙台阿部静",")28年6月1億9,845万円28年12月2億6,246万円","(株)安田火災海上200,000富士銀行127,800安田信託102,020安田生命100,000日本通運99,300平和生命60,100",)東京,1億円(昭和27年10月),1億円,昭和27年10月),NA,NA,NA,東京建物㈱,firm,NA,FALSE,FALSE,100000000,150,NA,NA,NA,NA,NA,NA,NA,NA,)28年6月,28年12月,1億9845万円,2億6246万円,FALSE,198450000,FALSE,262460000,28年6月,28年12月,3323万円,3299万円,FALSE,33230000,FALSE,32990000,1745,明治29年10月,明治,29年,10月,
PR1954_firm_5399,)3月-9月,東京都中央區銀座西73電銀座(57)7171-7,NA,)富士・協和・勸銀(各本店)・大和・第一信託(各銀座)・千葉(秋葉原)・東海(銀座)・東京(銀座南)・埼玉・日本相互(各東京)三和(銀座),「東京製鋼所」江東區南砂町15-1985圓深川(64)7121-8「茅崎鑄鋼所」神奈川縣茅ケ崎市矢畑830個茅ヶ崎314•317.642「品川製作所」東京都品川區1大井鮫洲町2460大崎(49)4640•2915「大阪出張所」西區立賣堀通12-16D新町(53)436・1643,東都製鋼,)大正11年9月に創業昭和18年10月東京之*]ング㈱を合併,NA,NA,)28年3月15分28年9月15分,)昭和10年10月,)形鋼・棒鋼・窓枠用鋼材·車輛用鋼材·軌條附屬鋼材·薄鋼鏡·鑄鐵鋼品の製造及販賣,NA,1756,"教)4,470",")1,600万株",)400万株,"28年3月6,327万円28年9月7,240万円",社長藤川一秋|||專|||務務常務柴田清|||赤田信藏|||吉廣委取締役|||烟中武次|||德島|||原役治|||吉崎秀|||伊木常世|||查役常任監查营野武夫|||相談役淺野義夫|||顧問根本文次郎|||原田德太郎|||丸山二郎|||本社取締役會事務局|||局長柴田清|||課長秋山豐|||起業事務局|||局長蘭吉廣秀雄|||課長塚本天ぷ|||.小島小四郎|||秘書課長中島達郎|||總務部||||部長吉川一雄|||總務課長白土美三郎|||人事課長松本憲司|||株式課長石橋貞市|||經理部|||「部長吉崎秀||||資金課長松井四郎|||「計算課長、松田善一|||販賣部|||部長田畑英一郎」|||課長金森誼道|||振興課長大石太郎|||購買部|||「部長烟中武次||||購買課長白土正治|||技術部|||部長伊木常世||||山口道夫部課|||山木正義||||檢查課長道德彌|||東京製鋼所|||「所長原役治|||副所長木下|||所長付課武|||管理課長舟橋元|||原價計課長算正士夫平|||總務部|||「部長木下正|||庶務課長佐尾隆|||「勞務課長小澤文男|||業務部|||部長提橋惠三|||倉庫課長藤井|||製品課長綿貫民次|||運輸課長松本文雄|||製鋼部|||「部長蘭木下正|||部付課長中村好美|||第一製鋼課長鈴木正也|||第二製鋼課長淺原隆三|||課長待遇清本安志|||製條部|||「部長坂本弘|||部付課長大雄|||「壓延課長第一中中課中型義雄|||第二中型壓延課長川田|||小型壓延課長渡邊多市|||旋削課長平島直彥|||製銳部|||部長遠入明|||製鈑課長松永繁一|||長長之|工作課長木下正次郎||||電氣課長田中四郎太|||茅ヶ崎鋳鋼所|||「所長赤田信蔵|||「次長市來物|||總務課長田邊正三|||業務課長尾崎三郎長長長|||工程課長隆夫||||倉庫課長|田邊正三|||製造課長野村自一|||品川製作所|||「所長德島靜雄|||「次長寺田次男|||總務課長|||課長待遇|||熱處理鍛造課長西山國久|||大阪出張所|||主任杉山正二,")28年3月19億5,351万円28年9月21億8,742万円","(株)日興証券433,100車輪工業352,100住友信託290,000大谷重工業290,000藤川一秋312,548三菱信託240,000",)東京・大阪・名古,4億円(昭和27年8月),4億円,昭和27年8月),NA,に仕入富士製鐵・久保田鐵工・昭和電工販賣ｺ森岡興業・岡谷鋼機・木下商店,NA,東都製鋼,firm,NA,FALSE,FALSE,400000000,1756,NA,NA,NA,NA,NA,NA,NA,NA,)28年3月,28年9月,19億5351万円,21億8742万円,FALSE,1953510000,FALSE,2187420000,28年3月,28年9月,6327万円,7240万円,FALSE,63270000,FALSE,72400000,4470,昭和10年10月,昭和,10年,10月,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
